"","Country.Name","Country.Code","MMR_Level","AFR_Level","Growth_Level","Participation_Level","PC_Level","Savings_Level","HIVW_Level","HIV_Total_Level","Edu_Level","MMR_Level_score","AFR_Level_score","Growth_Level_score","Participation_Level_score","PC_Level_score","Savings_Level_score","HIVW_Level_score","HIV_Total_Level_score","Edu_Level_score","composite_score","weighted_score","score_group","weighted_group"
"90","Channel Islands","CHI","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"91","Chile","CHL","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"92","Chile","CHL","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"93","China","CHN","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","High savings","Low share","Low prevalence","High education",3,3,2,3,1,3,3,3,3,2.66666666666667,2.55,"High","High"
"94","China","CHN","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","High education",3,3,2,2,1,3,3,3,3,2.55555555555556,2.45,"High","High"
"95","Colombia","COL","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,2,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"96","Colombia","COL","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,2,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"97","Comoros","COM","Medium MMR","Medium AFR","Low growth","Low participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,1,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"98","Comoros","COM","Medium MMR","Medium AFR","Low growth","Low participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,1,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"99","Congo, Dem. Rep.","COD","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,3,1,2,1,3,1,1.66666666666667,1.6,"Low","Low"
"100","Congo, Dem. Rep.","COD","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,3,1,2,1,3,1,1.66666666666667,1.6,"Low","Low"
"101","Congo, Rep.","COG","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","High savings","High share","High prevalence","Low education",2,1,1,3,1,3,1,1,1,1.55555555555556,1.6,"Low","Low"
"102","Congo, Rep.","COG","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","High savings","High share","High prevalence","Low education",2,1,1,3,1,3,1,1,1,1.55555555555556,1.6,"Low","Low"
"103","Costa Rica","CRI","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,2,1,2,1,2,3,3,1,2,1.9,"Low","Low"
"104","Costa Rica","CRI","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,2,1,2,1,2,3,3,1,2,1.9,"Low","Low"
"105","Cote d'Ivoire","CIV","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,1,2,1,2,1,1,1,1.33333333333333,1.4,"Low","Low"
"106","Cote d'Ivoire","CIV","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,1,2,1,2,1,1,1,1.33333333333333,1.4,"Low","Low"
"107","Croatia","HRV","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,1,2,3,3,3,2.33333333333333,2.2,"Medium","Medium"
"108","Croatia","HRV","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,1,2,3,3,3,2.33333333333333,2.2,"Medium","Medium"
"109","Cuba","CUB","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,2,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"110","Cuba","CUB","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,2,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"111","Curacao","CUW","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"112","Curacao","CUW","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"113","Cyprus","CYP","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"114","Cyprus","CYP","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"115","Czechia","CZE","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"116","Czechia","CZE","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"117","Denmark","DNK","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"118","Denmark","DNK","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"119","Djibouti","DJI","Medium MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",2,3,1,1,1,2,2,3,1,1.77777777777778,1.65,"Low","Low"
"120","Djibouti","DJI","Medium MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",2,3,1,1,1,2,2,3,1,1.77777777777778,1.65,"Low","Low"
"121","Dominica","DMA","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"122","Dominica","DMA","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"123","Dominican Republic","DOM","Low MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,2,2,1,2,2,3,1,2,2,"Low","Medium"
"124","Dominican Republic","DOM","Low MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,2,2,1,2,2,3,1,2,2,"Low","Medium"
"125","Early-demographic dividend","EAR","Low MMR","Medium AFR","Low growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,1,1,2,2,3,1,1.77777777777778,1.75,"Low","Low"
